Name,Product,Brand,Shade,R,G,B,Price,Size,Formula,Ingredients,Description,Image URL
RadiantGlow Foundation,Foundation,Luminous Beauty,Light Ivory - Light with cool undertones,255,239,213,45,30.0 ml,Liquid,Water, Glycerin, Titanium Dioxide, Dimethicone, Aloe Vera,"A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.",https://image.pollinations.ai/prompt/Luminous%20Beauty,%20Foundation,%20Light%20Ivory,%2045,%20Liquid
RadiantGlow Foundation,Foundation,Luminous Beauty,Medium Beige - Medium with neutral undertones,210,180,140,45,30.0 ml,Liquid,Water, Glycerin, Titanium Dioxide, Dimethicone, Aloe Vera,"A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.",https://image.pollinations.ai/prompt/Luminous%20Beauty,%20Foundation,%20Medium%20Beige,%2045,%20Liquid
RadiantGlow Foundation,Foundation,Luminous Beauty,Deep Cocoa - Dark with rich undertones,90,40,20,45,30.0 ml,Liquid,Water, Glycerin, Titanium Dioxide, Dimethicone, Aloe Vera,"A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.",https://image.pollinations.ai/prompt/Luminous%20Beauty,%20Foundation,%20Deep%20Cocoa,%2045,%20Liquid
VelvetTouch Foundation,Foundation,Smooth Finish,Porcelain Silk - Light with neutral undertones,240,230,220,39,25.0 ml,Powder,Talc, Mica, Silica, Jojoba Oil, Vitamin E,"A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.",https://image.pollinations.ai/prompt/Smooth%20Finish,%20Foundation,%20Porcelain%20Silk,%2039,%20Powder
VelvetTouch Foundation,Foundation,Smooth Finish,Honey Gold - Medium with warm undertones,220,180,140,39,25.0 ml,Powder,Talc, Mica, Silica, Jojoba Oil, Vitamin E,"A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.",https://image.pollinations.ai/prompt/Smooth%20Finish,%20Foundation,%20Honey%20Gold,%2039,%20Powder
VelvetTouch Foundation,Foundation,Smooth Finish,Espresso Deep - Dark with neutral undertones,80,50,30,39,25.0 ml,Powder,Talc, Mica, Silica, Jojoba Oil, Vitamin E,"A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.",https://image.pollinations.ai/prompt/Smooth%20Finish,%20Foundation,%20Espresso%20Deep,%2039,%20Powder
EcoBlend Foundation,Foundation,Nature Essence,Alabaster Light - Light with warm undertones,255,240,220,42,35.0 ml,Cream,Water, Beeswax, Coconut Oil, Shea Butter, Chamomile Extract,"A cream foundation made with natural ingredients for a flawless and hydrating coverage.",https://image.pollinations.ai/prompt/Nature%20Essence,%20Foundation,%20Alabaster%20Light,%2042,%20Cream
EcoBlend Foundation,Foundation,Nature Essence,Sunlit Bronze - Medium with golden undertones,210,170,110,42,35.0 ml,Cream,Water, Beeswax, Coconut Oil, Shea Butter, Chamomile Extract,"A cream foundation made with natural ingredients for a flawless and hydrating coverage.",https://image.pollinations.ai/prompt/Nature%20Essence,%20Foundation,%20Sunlit%20Bronze,%2042,%20Cream
EcoBlend Foundation,Foundation,Nature Essence,Mocha Magic - Dark with rich undertones,90,60,40,42,35.0 ml,Cream,Water, Beeswax, Coconut Oil, Shea Butter, Chamomile Extract,"A cream foundation made with natural ingredients for a flawless and hydrating coverage.",https://image.pollinations.ai/prompt/Nature%20Essence,%20Foundation,%20Mocha%20Magic,%2042,%20Cream
SilkRadiance Foundation,Foundation,Glamour Glow,Petal Fair - Light with rosy undertones,255,220,230,49,30.0 ml,Liquid,Water, Cyclopentasiloxane, Glycerin, Dimethicone, Hyaluronic Acid,"A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.",https://image.pollinations.ai/prompt/Glamour%20Glow,%20Foundation,%20Petal%20Fair,%2049,%20Liquid
